65

Culture: pt-BR 
Date: 15/05/2023 14:21:47.64988

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 136
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 201
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 196
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 197
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 14:21:47.71488	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.71588	0	0	0	0	0	1	0	0	1553,38274
15/05/2023 14:21:47.71688	0	0	0	0	0	1	0	0	1553,37981
15/05/2023 14:21:47.71788	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.71888	0	0	0	0	0	1	0	0	1553,37961
15/05/2023 14:21:47.71988	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.72088	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.72188	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.72288	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.72388	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.72488	0	0	0	0	0	1	0	0	1553,38078
15/05/2023 14:21:47.72588	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.72688	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.72788	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.72888	0	0	0	0	0	1	0	0	1553,38216
15/05/2023 14:21:47.72988	0	0	0	0	0	1	0	0	1553,37824
15/05/2023 14:21:47.73088	0	0	0	0	0	1	0	0	1553,38353
15/05/2023 14:21:47.73188	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.73288	0	0	0	0	0	1	0	0	1553,38098
15/05/2023 14:21:47.73388	0	0	0	0	0	1	0	0	1553,37922
15/05/2023 14:21:47.73488	0	0	0	0	0	1	0	0	1553,38000
15/05/2023 14:21:47.73588	0	0	0	0	0	1	0	0	1553,38118
15/05/2023 14:21:47.73688	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.73788	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.73888	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.73988	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.74088	0	0	0	0	0	1	0	0	1553,37843
15/05/2023 14:21:47.74188	0	0	0	0	0	1	0	0	1553,38313
15/05/2023 14:21:47.74288	0	0	0	0	0	1	0	0	1553,37941
15/05/2023 14:21:47.74388	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.74488	0	0	0	0	0	1	0	0	1553,38176
15/05/2023 14:21:47.74588	0	0	0	0	0	1	0	0	1553,38078
