65

Culture: pt-BR 
Date: 15/05/2023 13:40:51.55381

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 13:40:51.56622	1	0	0	0	0	0	0	0	1524,42248
15/05/2023 13:40:51.56722	1	0	0	0	0	0	0	0	1524,41079
15/05/2023 13:40:51.56822	1	0	0	0	0	0	0	0	1524,40664
15/05/2023 13:40:51.56922	1	0	0	0	0	0	0	0	1524,41418
15/05/2023 13:40:51.57022	1	0	0	0	0	0	0	0	1524,42625
15/05/2023 13:40:51.57122	1	0	0	0	0	0	0	0	1524,40701
15/05/2023 13:40:51.57222	1	0	0	0	0	0	0	0	1524,41475
15/05/2023 13:40:51.57322	1	0	0	0	0	0	0	0	1524,41965
15/05/2023 13:40:51.57422	1	0	0	0	0	0	0	0	1524,42342
15/05/2023 13:40:51.57522	1	0	0	0	0	0	0	0	1524,40324
15/05/2023 13:40:51.57622	1	0	0	0	0	0	0	0	1524,41927
15/05/2023 13:40:51.57722	1	0	0	0	0	0	0	0	1524,42719
15/05/2023 13:40:51.57822	1	0	0	0	0	0	0	0	1524,41776
15/05/2023 13:40:51.57922	1	0	0	0	0	0	0	0	1524,40381
15/05/2023 13:40:51.58022	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.58122	1	0	0	0	0	0	0	0	1524,41908
15/05/2023 13:40:51.58222	1	0	0	0	0	0	0	0	1524,41965
15/05/2023 13:40:51.58322	1	0	0	0	0	0	0	0	1524,40135
15/05/2023 13:40:51.58422	1	0	0	0	0	0	0	0	1524,41908
15/05/2023 13:40:51.58522	1	0	0	0	0	0	0	0	1524,41852
15/05/2023 13:40:51.58622	1	0	0	0	0	0	0	0	1524,41720
15/05/2023 13:40:51.58722	1	0	0	0	0	0	0	0	1524,41286
15/05/2023 13:40:51.58822	1	0	0	0	0	0	0	0	1524,41663
15/05/2023 13:40:51.58922	1	0	0	0	0	0	0	0	1524,42097
15/05/2023 13:40:51.59022	1	0	0	0	0	0	0	0	1524,41739
15/05/2023 13:40:51.59122	1	0	0	0	0	0	0	0	1524,40852
15/05/2023 13:40:51.59222	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.59322	1	0	0	0	0	0	0	0	1524,42531
15/05/2023 13:40:51.59422	1	0	0	0	0	0	0	0	1524,41776
15/05/2023 13:40:51.59522	1	0	0	0	0	0	0	0	1524,40513
15/05/2023 13:40:51.59622	1	0	0	0	0	0	0	0	1524,41550
15/05/2023 13:40:51.59722	1	0	0	0	0	0	0	0	1524,41795
15/05/2023 13:40:51.59822	1	0	0	0	0	0	0	0	1524,41588
15/05/2023 13:40:51.59922	1	0	0	0	0	0	0	0	1524,40777
15/05/2023 13:40:51.60022	1	0	0	0	0	0	0	0	1524,41607
15/05/2023 13:40:51.60122	1	0	0	0	0	0	0	0	1524,41456
15/05/2023 13:40:51.60222	1	0	0	0	0	0	0	0	1524,41210
15/05/2023 13:40:51.60322	1	0	0	0	0	0	0	0	1524,40777
15/05/2023 13:40:51.60422	1	0	0	0	0	0	0	0	1524,41531
15/05/2023 13:40:51.60522	1	0	0	0	0	0	0	0	1524,42550
15/05/2023 13:40:51.60622	1	0	0	0	0	0	0	0	1524,41343
15/05/2023 13:40:51.60722	1	0	0	0	0	0	0	0	1524,40192
15/05/2023 13:40:51.60822	1	0	0	0	0	0	0	0	1524,42531
15/05/2023 13:40:51.60922	1	0	0	0	0	0	0	0	1524,42286
15/05/2023 13:40:51.61022	1	0	0	0	0	0	0	0	1524,41965
15/05/2023 13:40:51.61122	1	0	0	0	0	0	0	0	1524,41229
15/05/2023 13:40:51.61222	1	0	0	0	0	0	0	0	1524,40833
15/05/2023 13:40:51.61322	1	0	0	0	0	0	0	0	1524,42059
15/05/2023 13:40:51.61422	1	0	0	0	0	0	0	0	1524,40645
15/05/2023 13:40:51.61522	1	0	0	0	0	0	0	0	1524,41267
15/05/2023 13:40:51.61622	1	0	0	0	0	0	0	0	1524,41795
15/05/2023 13:40:51.61722	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.61822	1	0	0	0	0	0	0	0	1524,41644
15/05/2023 13:40:51.61922	1	0	0	0	0	0	0	0	1524,41531
15/05/2023 13:40:51.62022	1	0	0	0	0	0	0	0	1524,42040
15/05/2023 13:40:51.62122	1	0	0	0	0	0	0	0	1524,41607
15/05/2023 13:40:51.62222	1	0	0	0	0	0	0	0	1524,41456
15/05/2023 13:40:51.62322	1	0	0	0	0	0	0	0	1524,40135
15/05/2023 13:40:51.62422	1	0	0	0	0	0	0	0	1524,42154
15/05/2023 13:40:51.62522	1	0	0	0	0	0	0	0	1524,41908
15/05/2023 13:40:51.62622	1	0	0	0	0	0	0	0	1524,41229
15/05/2023 13:40:51.62722	1	0	0	0	0	0	0	0	1524,40531
15/05/2023 13:40:51.62822	1	0	0	0	0	0	0	0	1524,41343
15/05/2023 13:40:51.62922	1	0	0	0	0	0	0	0	1524,41343
15/05/2023 13:40:51.63022	1	0	0	0	0	0	0	0	1524,39909
15/05/2023 13:40:51.63122	1	0	0	0	0	0	0	0	1524,40588
15/05/2023 13:40:51.63222	1	0	0	0	0	0	0	0	1524,42286
15/05/2023 13:40:51.63322	1	0	0	0	0	0	0	0	1524,41097
15/05/2023 13:40:51.63422	1	0	0	0	0	0	0	0	1524,40267
15/05/2023 13:40:51.63522	1	0	0	0	0	0	0	0	1524,41343
15/05/2023 13:40:51.63622	1	0	0	0	0	0	0	0	1524,41286
15/05/2023 13:40:51.63722	1	0	0	0	0	0	0	0	1524,41588
15/05/2023 13:40:51.63822	1	0	0	0	0	0	0	0	1524,40400
15/05/2023 13:40:51.63922	1	0	0	0	0	0	0	0	1524,42286
15/05/2023 13:40:51.64022	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.64122	1	0	0	0	0	0	0	0	1524,40475
15/05/2023 13:40:51.64222	1	0	0	0	0	0	0	0	1524,39890
15/05/2023 13:40:51.64322	1	0	0	0	0	0	0	0	1524,41531
15/05/2023 13:40:51.64422	1	0	0	0	0	0	0	0	1524,42059
15/05/2023 13:40:51.64522	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.64622	1	0	0	0	0	0	0	0	1524,41833
15/05/2023 13:40:51.64722	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.64822	1	0	0	0	0	0	0	0	1524,41927
15/05/2023 13:40:51.64922	1	0	0	0	0	0	0	0	1524,40588
15/05/2023 13:40:51.65022	1	0	0	0	0	0	0	0	1524,40852
15/05/2023 13:40:51.65122	1	0	0	0	0	0	0	0	1524,42342
15/05/2023 13:40:51.65222	1	0	0	0	0	0	0	0	1524,41418
15/05/2023 13:40:51.65322	1	0	0	0	0	0	0	0	1524,40890
15/05/2023 13:40:51.65422	1	0	0	0	0	0	0	0	1524,41343
15/05/2023 13:40:51.65522	1	0	0	0	0	0	0	0	1524,41776
15/05/2023 13:40:51.65622	1	0	0	0	0	0	0	0	1524,40909
15/05/2023 13:40:51.65722	1	0	0	0	0	0	0	0	1524,41079
15/05/2023 13:40:51.65822	1	0	0	0	0	0	0	0	1524,41908
15/05/2023 13:40:51.65922	1	0	0	0	0	0	0	0	1524,41720
15/05/2023 13:40:51.66022	1	0	0	0	0	0	0	0	1524,40720
15/05/2023 13:40:51.66122	1	0	0	0	0	0	0	0	1524,40400
15/05/2023 13:40:51.66222	1	0	0	0	0	0	0	0	1524,41720
15/05/2023 13:40:51.66322	1	0	0	0	0	0	0	0	1524,41097
15/05/2023 13:40:51.66422	1	0	0	0	0	0	0	0	1524,40852
15/05/2023 13:40:51.66522	1	0	0	0	0	0	0	0	1524,40513
15/05/2023 13:40:51.66622	1	0	0	0	0	0	0	0	1524,42248
15/05/2023 13:40:51.66722	1	0	0	0	0	0	0	0	1524,42550
15/05/2023 13:40:51.66822	1	0	0	0	0	0	0	0	1524,41833
15/05/2023 13:40:51.66922	1	0	0	0	0	0	0	0	1524,40513
15/05/2023 13:40:51.67022	1	0	0	0	0	0	0	0	1524,41965
15/05/2023 13:40:51.67122	1	0	0	0	0	0	0	0	1524,42323
15/05/2023 13:40:51.67222	1	0	0	0	0	0	0	0	1524,41079
15/05/2023 13:40:51.67322	1	0	0	0	0	0	0	0	1524,39570
15/05/2023 13:40:51.67422	1	0	0	0	0	0	0	0	1524,41965
15/05/2023 13:40:51.67522	1	0	0	0	0	0	0	0	1524,41927
15/05/2023 13:40:51.67622	1	0	0	0	0	0	0	0	1524,40909
15/05/2023 13:40:51.67722	1	0	0	0	0	0	0	0	1524,40400
15/05/2023 13:40:51.67822	1	0	0	0	0	0	0	0	1524,42399
15/05/2023 13:40:51.67922	1	0	0	0	0	0	0	0	1524,42154
15/05/2023 13:40:51.68022	1	0	0	0	0	0	0	0	1524,40852
15/05/2023 13:40:51.68122	1	0	0	0	0	0	0	0	1524,41267
15/05/2023 13:40:51.68222	1	0	0	0	0	0	0	0	1524,42173
15/05/2023 13:40:51.68322	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.68422	1	0	0	0	0	0	0	0	1524,39192
15/05/2023 13:40:51.68522	1	0	0	0	0	0	0	0	1524,42059
15/05/2023 13:40:51.68622	1	0	0	0	0	0	0	0	1524,42210
15/05/2023 13:40:51.68722	1	0	0	0	0	0	0	0	1524,40852
15/05/2023 13:40:51.68822	1	0	0	0	0	0	0	0	1524,40060
15/05/2023 13:40:51.68922	1	0	0	0	0	0	0	0	1524,41210
15/05/2023 13:40:51.69022	1	0	0	0	0	0	0	0	1524,41739
15/05/2023 13:40:51.69122	1	0	0	0	0	0	0	0	1524,41531
15/05/2023 13:40:51.69222	1	0	0	0	0	0	0	0	1524,40852
15/05/2023 13:40:51.69322	1	0	0	0	0	0	0	0	1524,42022
15/05/2023 13:40:51.69422	1	0	0	0	0	0	0	0	1524,41776
15/05/2023 13:40:51.69522	1	0	0	0	0	0	0	0	1524,42682
15/05/2023 13:40:51.69622	1	0	0	0	0	0	0	0	1524,40003
15/05/2023 13:40:51.69722	1	0	0	0	0	0	0	0	1524,41644
15/05/2023 13:40:51.69822	1	0	0	0	0	0	0	0	1524,41418
15/05/2023 13:40:51.69922	1	0	0	0	0	0	0	0	1524,41852
15/05/2023 13:40:51.70022	1	0	0	0	0	0	0	0	1524,40475
15/05/2023 13:40:51.70122	1	0	0	0	0	0	0	0	1524,41663
15/05/2023 13:40:51.70222	1	0	0	0	0	0	0	0	1524,41776
15/05/2023 13:40:51.70322	1	0	0	0	0	0	0	0	1524,41644
15/05/2023 13:40:51.70422	1	0	0	0	0	0	0	0	1524,41324
15/05/2023 13:40:51.70522	1	0	0	0	0	0	0	0	1524,42097
15/05/2023 13:40:51.70622	1	0	0	0	0	0	0	0	1524,41927
15/05/2023 13:40:51.70722	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.70822	1	0	0	0	0	0	0	0	1524,40777
15/05/2023 13:40:51.70922	1	0	0	0	0	0	0	0	1524,40154
15/05/2023 13:40:51.71022	1	0	0	0	0	0	0	0	1524,42625
15/05/2023 13:40:51.71122	1	0	0	0	0	0	0	0	1524,41852
15/05/2023 13:40:51.71222	1	0	0	0	0	0	0	0	1524,40833
15/05/2023 13:40:51.71322	1	0	0	0	0	0	0	0	1524,41663
15/05/2023 13:40:51.71422	1	0	0	0	0	0	0	0	1524,42757
15/05/2023 13:40:51.71522	1	0	0	0	0	0	0	0	1524,41154
15/05/2023 13:40:51.71622	1	0	0	0	0	0	0	0	1524,40400
15/05/2023 13:40:51.71722	1	0	0	0	0	0	0	0	1524,41814
15/05/2023 13:40:51.71822	1	0	0	0	0	0	0	0	1524,42040
15/05/2023 13:40:51.71922	1	0	0	0	0	0	0	0	1524,41908
15/05/2023 13:40:51.72022	1	0	0	0	0	0	0	0	1524,41739
15/05/2023 13:40:51.72122	1	0	0	0	0	0	0	0	1524,41531
15/05/2023 13:40:51.72222	1	0	0	0	0	0	0	0	1524,41984
15/05/2023 13:40:51.72322	1	0	0	0	0	0	0	0	1524,40777
15/05/2023 13:40:51.72422	1	0	0	0	0	0	0	0	1524,40324
15/05/2023 13:40:51.72522	1	0	0	0	0	0	0	0	1524,42040
15/05/2023 13:40:51.72622	1	0	0	0	0	0	0	0	1524,41776
15/05/2023 13:40:51.72722	1	0	0	0	0	0	0	0	1524,41229
15/05/2023 13:40:51.72822	1	0	0	0	0	0	0	0	1524,41079
15/05/2023 13:40:51.72922	1	0	0	0	0	0	0	0	1524,41908
15/05/2023 13:40:51.73022	1	0	0	0	0	0	0	0	1524,41795
15/05/2023 13:40:51.73122	1	0	0	0	0	0	0	0	1524,41588
15/05/2023 13:40:51.73222	1	0	0	0	0	0	0	0	1524,41173
15/05/2023 13:40:51.73322	1	0	0	0	0	0	0	0	1524,41720
15/05/2023 13:40:51.73422	1	0	0	0	0	0	0	0	1524,41984
15/05/2023 13:40:51.73522	1	0	0	0	0	0	0	0	1524,40909
15/05/2023 13:40:51.73622	1	0	0	0	0	0	0	0	1524,40833
15/05/2023 13:40:51.73722	1	0	0	0	0	0	0	0	1524,42059
15/05/2023 13:40:51.73822	1	0	0	0	0	0	0	0	1524,41852
15/05/2023 13:40:51.73922	1	0	0	0	0	0	0	0	1524,41229
