65

Culture: pt-BR 
Date: 15/05/2023 14:04:43.99884

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 136
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 201
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 14:04:44.00978	0	0	1	0	0	0	0	0	1545,33462
15/05/2023 14:04:44.01078	0	0	1	0	0	0	0	0	1545,33442
15/05/2023 14:04:44.01178	0	0	1	0	0	0	0	0	1545,33559
15/05/2023 14:04:44.01278	0	0	1	0	0	0	0	0	1545,33481
15/05/2023 14:04:44.01378	0	0	1	0	0	0	0	0	1545,33171
15/05/2023 14:04:44.01478	0	0	1	0	0	0	0	0	1545,33811
15/05/2023 14:04:44.01578	0	0	1	0	0	0	0	0	1545,33598
15/05/2023 14:04:44.01678	0	0	1	0	0	0	0	0	1545,33481
15/05/2023 14:04:44.01778	0	0	1	0	0	0	0	0	1545,33617
15/05/2023 14:04:44.01878	0	0	1	0	0	0	0	0	1545,33384
15/05/2023 14:04:44.01978	0	0	1	0	0	0	0	0	1545,33598
15/05/2023 14:04:44.02078	0	0	1	0	0	0	0	0	1545,33733
15/05/2023 14:04:44.02178	0	0	1	0	0	0	0	0	1545,33598
15/05/2023 14:04:44.02278	0	0	1	0	0	0	0	0	1545,33365
15/05/2023 14:04:44.02378	0	0	1	0	0	0	0	0	1545,33539
15/05/2023 14:04:44.02478	0	0	1	0	0	0	0	0	1545,33384
15/05/2023 14:04:44.02578	0	0	1	0	0	0	0	0	1545,33617
15/05/2023 14:04:44.02678	0	0	1	0	0	0	0	0	1545,33326
15/05/2023 14:04:44.02778	0	0	1	0	0	0	0	0	1545,33501
15/05/2023 14:04:44.02878	0	0	1	0	0	0	0	0	1545,33249
15/05/2023 14:04:44.02978	0	0	1	0	0	0	0	0	1545,33346
15/05/2023 14:04:44.03078	0	0	1	0	0	0	0	0	1545,33404
15/05/2023 14:04:44.03178	0	0	1	0	0	0	0	0	1545,33384
15/05/2023 14:04:44.03278	0	0	1	0	0	0	0	0	1545,33520
15/05/2023 14:04:44.03378	0	0	1	0	0	0	0	0	1545,33714
15/05/2023 14:04:44.03478	0	0	1	0	0	0	0	0	1545,33501
15/05/2023 14:04:44.03578	0	0	1	0	0	0	0	0	1545,33423
15/05/2023 14:04:44.03678	0	0	1	0	0	0	0	0	1545,33733
15/05/2023 14:04:44.03778	0	0	1	0	0	0	0	0	1545,33578
15/05/2023 14:04:44.03878	0	0	1	0	0	0	0	0	1545,33423
15/05/2023 14:04:44.03978	0	0	1	0	0	0	0	0	1545,33481
15/05/2023 14:04:44.04078	0	0	1	0	0	0	0	0	1545,33501
15/05/2023 14:04:44.04178	0	0	1	0	0	0	0	0	1545,33365
15/05/2023 14:04:44.04278	0	0	1	0	0	0	0	0	1545,33442
15/05/2023 14:04:44.04378	0	0	1	0	0	0	0	0	1545,33249
15/05/2023 14:04:44.04478	0	0	1	0	0	0	0	0	1545,33520
15/05/2023 14:04:44.04578	0	0	1	0	0	0	0	0	1545,33249
15/05/2023 14:04:44.04678	0	0	1	0	0	0	0	0	1545,33539
15/05/2023 14:04:44.04778	0	0	1	0	0	0	0	0	1545,33365
15/05/2023 14:04:44.04878	0	0	1	0	0	0	0	0	1545,33598
15/05/2023 14:04:44.04978	0	0	1	0	0	0	0	0	1545,33287
