65

Culture: pt-BR 
Date: 15/05/2023 13:59:58.91493

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 136
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 13:59:58.91593	0	1	0	0	0	0	0	0	1552,88586
15/05/2023 13:59:58.91693	0	1	0	0	0	0	0	0	1552,88880
15/05/2023 13:59:58.91793	0	1	0	0	0	0	0	0	1552,88606
15/05/2023 13:59:58.91893	0	1	0	0	0	0	0	0	1552,88762
15/05/2023 13:59:58.91993	0	1	0	0	0	0	0	0	1552,88508
15/05/2023 13:59:58.92093	0	1	0	0	0	0	0	0	1552,88762
15/05/2023 13:59:58.92193	0	1	0	0	0	0	0	0	1552,88743
15/05/2023 13:59:58.92293	0	1	0	0	0	0	0	0	1552,88528
15/05/2023 13:59:58.92393	0	1	0	0	0	0	0	0	1552,88606
15/05/2023 13:59:58.92493	0	1	0	0	0	0	0	0	1552,88919
15/05/2023 13:59:58.92593	0	1	0	0	0	0	0	0	1552,89056
15/05/2023 13:59:58.92693	0	1	0	0	0	0	0	0	1552,88880
15/05/2023 13:59:58.92793	0	1	0	0	0	0	0	0	1552,88762
15/05/2023 13:59:58.92893	0	1	0	0	0	0	0	0	1552,88802
15/05/2023 13:59:58.92993	0	1	0	0	0	0	0	0	1552,88723
15/05/2023 13:59:58.93093	0	1	0	0	0	0	0	0	1552,89135
15/05/2023 13:59:58.93193	0	1	0	0	0	0	0	0	1552,89115
15/05/2023 13:59:58.93293	0	1	0	0	0	0	0	0	1552,88978
15/05/2023 13:59:58.93393	0	1	0	0	0	0	0	0	1552,89056
15/05/2023 13:59:58.93493	0	1	0	0	0	0	0	0	1552,89056
15/05/2023 13:59:58.93593	0	1	0	0	0	0	0	0	1552,89037
15/05/2023 13:59:58.93693	0	1	0	0	0	0	0	0	1552,89213
15/05/2023 13:59:58.93793	0	1	0	0	0	0	0	0	1552,88802
15/05/2023 13:59:58.93893	0	1	0	0	0	0	0	0	1552,88880
15/05/2023 13:59:58.93993	0	1	0	0	0	0	0	0	1552,89115
15/05/2023 13:59:58.94093	0	1	0	0	0	0	0	0	1552,88860
15/05/2023 13:59:58.94193	0	1	0	0	0	0	0	0	1552,88860
15/05/2023 13:59:58.94293	0	1	0	0	0	0	0	0	1552,89076
15/05/2023 13:59:58.94393	0	1	0	0	0	0	0	0	1552,89056
15/05/2023 13:59:58.94493	0	1	0	0	0	0	0	0	1552,88821
15/05/2023 13:59:58.94593	0	1	0	0	0	0	0	0	1552,88880
15/05/2023 13:59:58.94693	0	1	0	0	0	0	0	0	1552,88723
15/05/2023 13:59:58.94793	0	1	0	0	0	0	0	0	1552,88919
15/05/2023 13:59:58.94893	0	1	0	0	0	0	0	0	1552,88743
15/05/2023 13:59:58.94993	0	1	0	0	0	0	0	0	1552,89037
15/05/2023 13:59:58.95093	0	1	0	0	0	0	0	0	1552,88528
15/05/2023 13:59:58.95193	0	1	0	0	0	0	0	0	1552,88939
15/05/2023 13:59:58.95293	0	1	0	0	0	0	0	0	1552,88547
15/05/2023 13:59:58.95393	0	1	0	0	0	0	0	0	1552,88782
15/05/2023 13:59:58.95493	0	1	0	0	0	0	0	0	1552,88586
15/05/2023 13:59:58.95593	0	1	0	0	0	0	0	0	1552,88645
15/05/2023 13:59:58.95693	0	1	0	0	0	0	0	0	1552,89017
15/05/2023 13:59:58.95793	0	1	0	0	0	0	0	0	1552,88939
15/05/2023 13:59:58.95893	0	1	0	0	0	0	0	0	1552,88743
15/05/2023 13:59:58.95993	0	1	0	0	0	0	0	0	1552,88762
15/05/2023 13:59:58.96093	0	1	0	0	0	0	0	0	1552,88762
15/05/2023 13:59:58.96193	0	1	0	0	0	0	0	0	1552,88645
15/05/2023 13:59:58.96293	0	1	0	0	0	0	0	0	1552,88391
15/05/2023 13:59:58.96393	0	1	0	0	0	0	0	0	1552,89115
15/05/2023 13:59:58.96493	0	1	0	0	0	0	0	0	1552,88665
15/05/2023 13:59:58.96593	0	1	0	0	0	0	0	0	1552,88821
15/05/2023 13:59:58.96693	0	1	0	0	0	0	0	0	1552,88567
15/05/2023 13:59:58.96793	0	1	0	0	0	0	0	0	1552,88489
15/05/2023 13:59:58.96893	0	1	0	0	0	0	0	0	1552,88762
15/05/2023 13:59:58.96993	0	1	0	0	0	0	0	0	1552,89311
15/05/2023 13:59:58.97093	0	1	0	0	0	0	0	0	1552,88802
15/05/2023 13:59:58.97193	0	1	0	0	0	0	0	0	1552,89174
15/05/2023 13:59:58.97293	0	1	0	0	0	0	0	0	1552,88606
15/05/2023 13:59:58.97393	0	1	0	0	0	0	0	0	1552,88958
15/05/2023 13:59:58.97493	0	1	0	0	0	0	0	0	1552,88880
15/05/2023 13:59:58.97593	0	1	0	0	0	0	0	0	1552,89056
15/05/2023 13:59:58.97693	0	1	0	0	0	0	0	0	1552,89115
15/05/2023 13:59:58.97793	0	1	0	0	0	0	0	0	1552,89037
15/05/2023 13:59:58.97893	0	1	0	0	0	0	0	0	1552,88880
15/05/2023 13:59:58.97993	0	1	0	0	0	0	0	0	1552,88997
15/05/2023 13:59:58.98093	0	1	0	0	0	0	0	0	1552,89174
15/05/2023 13:59:58.98193	0	1	0	0	0	0	0	0	1552,88919
15/05/2023 13:59:58.98293	0	1	0	0	0	0	0	0	1552,89135
15/05/2023 13:59:58.98393	0	1	0	0	0	0	0	0	1552,89037
15/05/2023 13:59:58.98493	0	1	0	0	0	0	0	0	1552,88821
15/05/2023 13:59:58.98593	0	1	0	0	0	0	0	0	1552,88684
15/05/2023 13:59:58.98693	0	1	0	0	0	0	0	0	1552,88586
15/05/2023 13:59:58.98793	0	1	0	0	0	0	0	0	1552,88860
15/05/2023 13:59:58.98893	0	1	0	0	0	0	0	0	1552,88841
15/05/2023 13:59:58.98993	0	1	0	0	0	0	0	0	1552,89056
15/05/2023 13:59:58.99093	0	1	0	0	0	0	0	0	1552,88782
15/05/2023 13:59:58.99193	0	1	0	0	0	0	0	0	1552,88723
15/05/2023 13:59:58.99293	0	1	0	0	0	0	0	0	1552,88919
15/05/2023 13:59:58.99393	0	1	0	0	0	0	0	0	1552,88684
15/05/2023 13:59:58.99493	0	1	0	0	0	0	0	0	1552,89311
15/05/2023 13:59:58.99593	0	1	0	0	0	0	0	0	1552,88391
15/05/2023 13:59:58.99693	0	1	0	0	0	0	0	0	1552,88528
15/05/2023 13:59:58.99793	0	1	0	0	0	0	0	0	1552,88723
15/05/2023 13:59:58.99893	0	1	0	0	0	0	0	0	1552,89174
15/05/2023 13:59:58.99993	0	1	0	0	0	0	0	0	1552,88743
15/05/2023 13:59:59.00093	0	1	0	0	0	0	0	0	1552,88958
15/05/2023 13:59:59.00193	0	1	0	0	0	0	0	0	1552,88645
15/05/2023 13:59:59.00293	0	1	0	0	0	0	0	0	1552,88782
15/05/2023 13:59:59.00393	0	1	0	0	0	0	0	0	1552,88547
15/05/2023 13:59:59.00493	0	1	0	0	0	0	0	0	1552,88900
15/05/2023 13:59:59.00593	0	1	0	0	0	0	0	0	1552,88684
15/05/2023 13:59:59.00693	0	1	0	0	0	0	0	0	1552,88508
15/05/2023 13:59:59.00793	0	1	0	0	0	0	0	0	1552,88704
15/05/2023 13:59:59.00893	0	1	0	0	0	0	0	0	1552,88782
15/05/2023 13:59:59.00993	0	1	0	0	0	0	0	0	1552,89213
15/05/2023 13:59:59.01093	0	1	0	0	0	0	0	0	1552,88958
15/05/2023 13:59:59.01193	0	1	0	0	0	0	0	0	1552,88860
15/05/2023 13:59:59.01293	0	1	0	0	0	0	0	0	1552,88958
